feature,feature_type,kingdom,phylum,order,class,family,genus,species
Brevibacterium linens,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium linens
Gemella morbillorum,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales noname,Gemella,Gemella morbillorum
Anaerococcus lactolyticus,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI Incertae Sedis,Anaerococcus,Anaerococcus lactolyticus
Porphyromonas bennonis,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas bennonis
Actinomyces turicensis,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces turicensis
Bacteriovorax unclassified,taxon,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax unclassified
Bat hepatitis virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Hepadnaviridae,Hepadnaviridae noname,Bat hepatitis virus
Anaerostipes unclassified,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes unclassified
Penicillium chrysogenum,taxon,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum
Sauropus leaf curl disease associated DNA beta,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Sauropus leaf curl disease associated DNA beta
Gracilibacillus unclassified,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,Gracilibacillus unclassified
Candidatus Liberibacter unclassified,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Candidatus Liberibacter,Candidatus Liberibacter unclassified
Hippea unclassified,taxon,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,Hippea unclassified
Shigella sonnei,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella sonnei
Lactobacillus phage Lc Nu,taxon,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Lactobacillus phage Lc Nu
Haemophilus haemolyticus,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus haemolyticus
Anaerococcus prevotii,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI Incertae Sedis,Anaerococcus,Anaerococcus prevotii
Haemophilus influenzae,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae
Fusobacterium periodonticum,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum
Pasteurella unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella unclassified
Campylobacter concisus,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus
Honeysuckle yellow vein Japan betasatellite,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Honeysuckle yellow vein Japan betasatellite
Human cosavirus E,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Cosavirus,Human cosavirus E
Mycobacterium phage Angel,taxon,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage Angel
Acetobacter unclassified,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter unclassified
Yellow fever virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Yellow fever virus
Megamonas unclassified,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,Megamonas unclassified
Megamonas funiformis,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,Megamonas funiformis
Megamonas hypermegale,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,Megamonas hypermegale
Salinicoccus unclassified,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,Salinicoccus unclassified
Kedougou virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Kedougou virus
Avian myelocytomatosis virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Retroviridae,Alpharetrovirus,Avian myelocytomatosis virus
Borrelia recurrentis,taxon,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia recurrentis
Lactobacillus sanfranciscensis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sanfranciscensis
Eubacterium brachy,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium brachy
Theilovirus,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Cardiovirus,Theilovirus
Marvinbryantia formatexigens,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens
Fusobacterium mortiferum,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum
Citrobacter freundii,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter freundii
Citrobacter unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter unclassified
Megamonas rupellensis,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,Megamonas rupellensis
Royal Farm virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Royal Farm virus
Selenomonas bovis,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Selenomonas bovis
Corynebacterium casei,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium casei
Bulleidia extructa,taxon,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia extructa
Citrobacter koseri,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter koseri
Prevotella histicola,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella histicola
Alternanthera yellow vein betasatellite,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Alternanthera yellow vein betasatellite
Leuconostoc mesenteroides,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc mesenteroides
Streptococcus sobrinus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sobrinus
Lactobacillus gasseri,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
Clostridium spiroforme,taxon,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae noname,Clostridium spiroforme
Clostridium saccharolyticum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saccharolyticum
Entamoeba dispar,taxon,Eukaryota,Eukaryota noname,Eukaryota noname,Eukaryota noname,Eukaryota noname,Entamoeba,Entamoeba dispar
Streptococcus agalactiae,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
Lactobacillus casei paracasei,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei paracasei
Lactobacillus plantarum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum
Streptococcus cristatus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cristatus
Anaerostipes caccae,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae
Haemophilus parahaemolyticus,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parahaemolyticus
Aggregatibacter aphrophilus,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus
Leuconostoc pseudomesenteroides,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc pseudomesenteroides
Leuconostoc citreum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc citreum
Actinomyces graevenitzii,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii
Lindernia anagallis yellow vein virus satellite DNA beta,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Lindernia anagallis yellow vein virus satellite DNA beta
Hollyhock leaf crumple virus satellite DNA,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Hollyhock leaf crumple virus satellite DNA
Bifidobacterium breve,taxon,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve
Mucispirillum schaedleri,taxon,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Mucispirillum schaedleri
Streptococcus gallolyticus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gallolyticus
Rothia dentocariosa,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia dentocariosa
Leuconostoc lactis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc lactis
Anaerofustis stercorihominis,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Anaerofustis stercorihominis
Dialister micraerophilus,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister micraerophilus
Eubacterium limosum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium limosum
Clostridium butyricum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium butyricum
Lactobacillus rhamnosus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus rhamnosus
Pyramidobacter piscolens,taxon,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,Pyramidobacter piscolens
Leuconostoc kimchii,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc kimchii
Prevotella oralis,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oralis
Tomato yellow leaf curl Vietnam virus satellite DNA beta,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Tomato yellow leaf curl Vietnam virus satellite DNA beta
Lactococcus garvieae,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae
Enterococcus hirae,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus hirae
Circovirus like genome RW C,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Circovirus like genome RW C
Blautia hansenii,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hansenii
Streptococcus peroris,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus peroris
Turkey gallivirus,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Picornaviridae noname,Turkey gallivirus
Eubacterium infirmum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII Incertae Sedis,Clostridiales Family XIII Incertae Sedis noname,Eubacterium infirmum
Lactobacillus versmoldensis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus versmoldensis
Eggerthia catenaformis,taxon,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Eggerthia,Eggerthia catenaformis
Actinomyces viscosus,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus
Actinomyces oris,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris
Clostridium glycolicum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae noname,Clostridium glycolicum
Parascardovia denticolens,taxon,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia,Parascardovia denticolens
Eubacterium saphenum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium saphenum
Atopobium rimae,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium rimae
Granulicatella elegans,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans
Facklamia unclassified,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia unclassified
Enterococcus durans,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans
Tetragenococcus halophilus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus
Cucurbita yellow vein virus associated DNA beta,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Cucurbita yellow vein virus associated DNA beta
Peptostreptococcus anaerobius,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus anaerobius
Porcine teschovirus,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Teschovirus,Porcine teschovirus
Streptococcus oligofermentans,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oligofermentans
Streptococcus infantarius,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius
Fusobacterium necrophorum,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium necrophorum
Enterococcus avium,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus avium
Enterococcus raffinosus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus raffinosus
Massilia unclassified,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia unclassified
Ruminococcus sp,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus sp
Helicobacter winghamensis,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter winghamensis
Neisseria unclassified,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria unclassified
Lactobacillus amylovorus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
Lactobacillus saerimneri,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus saerimneri
Methanocaldococcus unclassified,taxon,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus unclassified
Enterovirus H,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Enterovirus,Enterovirus H
Gluconacetobacter unclassified,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter unclassified
Acinetobacter johnsonii,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii
Zinnia leaf curl virus associated DNA beta,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Zinnia leaf curl virus associated DNA beta
Leuconostoc carnosum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc carnosum
Helicobacter pullorum,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pullorum
Aichivirus B,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus B
Streptococcus pasteurianus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pasteurianus
Fusobacterium ulcerans,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans
Staphylococcus equorum,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum
Enterorhabdus caecimuris,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Enterorhabdus,Enterorhabdus caecimuris
Leuconostoc unclassified,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc unclassified
Anaerococcus vaginalis,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI Incertae Sedis,Anaerococcus,Anaerococcus vaginalis
Anaerococcus obesiensis,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI Incertae Sedis,Anaerococcus,Anaerococcus obesiensis
Proteus mirabilis,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,Proteus mirabilis
Allobaculum stercoricanis,taxon,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Allobaculum stercoricanis
Enterococcus casseliflavus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus casseliflavus
Leuconostoc gelidum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc gelidum
Lactobacillus pentosus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus pentosus
Lactobacillus coryniformis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus coryniformis
Staphylococcus aureus,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Olsenella uli,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,Olsenella uli
Streptococcus intermedius,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius
Enterococcus asini,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus asini
Campylobacter gracilis,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter gracilis
Lactobacillus johnsonii,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
Lactobacillus iners,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners
Veillonella ratti,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella ratti
Enterococcus gallinarum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gallinarum
Abiotrophia defectiva,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva
Campylobacter coli,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli
Sphingobium yanoikuyae,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium yanoikuyae
Walleye dermal sarcoma virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Retroviridae,Epsilonretrovirus,Walleye dermal sarcoma virus
Lactobacillus vaginalis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus vaginalis
Eikenella corrodens,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Eikenella corrodens
Lactobacillus helveticus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus
Turnip mosaic virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Potyvirus,Turnip mosaic virus
Clostridium hylemonae,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium hylemonae
Arcanobacterium haemolyticum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum
Modoc virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Modoc virus
Culex flavivirus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Culex flavivirus
Pseudomonas fragi,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi
Enterobacter asburiae,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae
Stomatobaculum longum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum,Stomatobaculum longum
Pediococcus acidilactici,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici
Janthinobacterium unclassified,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium unclassified
Streptococcus lutetiensis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lutetiensis
Enterobacter aerogenes,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter aerogenes
Morganella morganii,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Morganella morganii
Lactobacillus oris,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus oris
Candida glabrata,taxon,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Candida glabrata
Lachnoanaerobaculum saburreum,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum saburreum
Cryptobacterium curtum,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Cryptobacterium,Cryptobacterium curtum
Lactobacillus animalis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus animalis
Pediococcus lolii,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus lolii
Atopobium minutum,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium minutum
Campylobacter showae,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter showae
Selenomonas artemidis,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Selenomonas artemidis
Enterovirus B,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Enterovirus,Enterovirus B
Clostridium difficile,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae noname,Clostridium difficile
Prevotella pleuritidis,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella pleuritidis
Actinomyces naeslundii,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii
Anaeroglobus geminatus,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus
Olsenella profusa,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,Olsenella profusa
Corynebacterium durum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum
Propionibacterium propionicum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium propionicum
Miscanthus streak virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Mastrevirus,Miscanthus streak virus
Azospirillum unclassified,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum unclassified
Brachybacterium unclassified,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium unclassified
Bovine adeno associated virus,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Parvoviridae,Dependovirus,Bovine adeno associated virus
Aeromonas unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas unclassified
Staphylococcus saprophyticus,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus
Oenococcus oeni,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,Oenococcus oeni
Collinsella stercoris,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris
Pseudoramibacter alactolyticus,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter alactolyticus
